ID,Titulo,Descricao,Fluxo,Tipo,Sprint,Pontos,Dependencias,DoD,Est_Ideal,Est_Real,Est_Pess,Usa_IA,Labels
APR-T02,[BACK] API POST /approvals,Endpoint de solicitacao de aprovacao,FLUXO_03,feature,3,5,,Solicitacao criada corretamente,4h,6h,10h,Nao,"backend,api"
APR-T03,[FRONT] ApprovalWorkflowPanel,Painel de workflow de aprovacao,FLUXO_03,feature,3,5,,Workflow exibido corretamente,4h,6h,10h,Nao,"frontend,panel"
APR-T04,[FRONT] ApprovalRequestCard,Card de solicitacao pendente,FLUXO_03,feature,3,3,,Card exibe dados corretos,3h,5h,8h,Nao,"frontend,card"
APR-T05,[FRONT] ApproveModal,Modal de aprovacao com comentario,FLUXO_03,feature,3,3,,Modal funciona corretamente,3h,5h,8h,Nao,"frontend,modal"
APR-T06,[FRONT] RejectModal,Modal de rejeicao com motivo obrigatorio,FLUXO_03,feature,3,3,,Modal funciona com validacao,3h,5h,8h,Nao,"frontend,modal"
APR-T07,[BACK] API POST /approvals/{id}/approve,Endpoint de aprovacao,FLUXO_03,feature,3,3,,Aprovacao registrada,3h,5h,8h,Nao,"backend,api"
APR-T08,[BACK] API POST /approvals/{id}/reject,Endpoint de rejeicao,FLUXO_03,feature,3,3,,Rejeicao registrada com motivo,3h,5h,8h,Nao,"backend,api"
APR-T09,[BACK] Multi-level Workflow,Logica de aprovacao multi-nivel,FLUXO_03,feature,3,5,,Niveis sequenciais funcionam,4h,6h,10h,Nao,"backend,logic"
APR-T10,[BACK] Notificacao de Aprovacao,Email para aprovadores,FLUXO_03,feature,3,3,,Emails enviados corretamente,3h,5h,8h,Nao,"backend,email"
APR-T11,[FRONT] PublishingModal,Modal de publicacao em canais,FLUXO_03,feature,3,5,,Modal funciona corretamente,4h,6h,10h,Nao,"frontend,modal"
APR-T12,[FRONT] ChannelSelector,Seletor de canais de publicacao,FLUXO_03,feature,3,3,APR-T11,Canais selecionaveis,3h,5h,8h,Nao,"frontend,ui"
APR-T13,[BACK] API POST /jobs/{id}/publish,Endpoint de publicacao,FLUXO_03,feature,3,5,,Publicacao em canais funciona,4h,6h,10h,Nao,"backend,api"
APR-T14,[INTEG] LinkedIn Jobs API,Integracao com LinkedIn,FLUXO_03,feature,3,8,APR-T13,Publicacao no LinkedIn funciona,8h,12h,20h,Nao,"backend,integration"
APR-T15,[INTEG] Indeed API,Integracao com Indeed,FLUXO_03,feature,3,5,APR-T13,Publicacao no Indeed funciona,5h,8h,12h,Nao,"backend,integration"
APR-T16,[FRONT] JobStatusManager,Dropdown de gestao de status,FLUXO_03,feature,3,3,,Status alterado corretamente,3h,5h,8h,Nao,"frontend,ui"
APR-T17,[BACK] API PUT /jobs/{id}/status,Endpoint de alteracao de status,FLUXO_03,feature,3,3,,Status atualizado com historico,3h,5h,8h,Nao,"backend,api"
APR-T18,[FRONT] ConfidentialToggle,Toggle para vaga confidencial,FLUXO_03,feature,3,2,,Toggle funciona corretamente,2h,3h,5h,Nao,"frontend,ui"
APR-T19,[FRONT] AffirmativeToggle,Toggle para acao afirmativa,FLUXO_03,feature,3,2,,Toggle funciona corretamente,2h,3h,5h,Nao,"frontend,ui"
KAN-T01,[FRONT] JobKanbanPage Container,Pagina do Kanban de candidatos,FLUXO_04,feature,2,5,,Pagina renderiza corretamente,4h,6h,10h,Nao,"frontend,page"
KAN-T02,[FRONT] KanbanBoard Component,Board principal com colunas,FLUXO_04,feature,2,8,KAN-T01,Board renderiza com 6 colunas,6h,10h,16h,Nao,"frontend,kanban"
KAN-T03,[FRONT] KanbanColumn Component,Coluna representando etapa,FLUXO_04,feature,2,5,KAN-T02,Coluna com header e contador,4h,6h,10h,Nao,"frontend,kanban"
KAN-T04,[FRONT] CandidateCard Component,Card do candidato no Kanban,FLUXO_04,feature,2,5,KAN-T03,Card exibe dados corretamente,4h,6h,10h,Nao,"frontend,card"
KAN-T05,[BACK] API GET /jobs/{id}/kanban,Dados completos do Kanban,FLUXO_04,feature,2,5,,API retorna candidatos por etapa,4h,6h,10h,Nao,"backend,api"
KAN-T06,[FRONT] DragDropContext,Contexto de drag-and-drop,FLUXO_04,feature,2,8,KAN-T02,DnD funciona entre colunas,6h,10h,16h,Nao,"frontend,dnd"
KAN-T07,[BACK] API PUT /candidates/{cid}/stage,Mover candidato de etapa,FLUXO_04,feature,2,5,,Etapa atualizada com historico,4h,6h,10h,Nao,"backend,api"
KAN-T08,[BACK] Historico de Movimentacao,Registro de mudancas de etapa,FLUXO_04,feature,2,3,KAN-T07,Historico salvo automaticamente,3h,5h,8h,Nao,"backend,database"
KAN-T09,[FRONT] CandidatePreview Panel,Painel lateral de preview,FLUXO_04,feature,3,8,KAN-T04,Preview abre e exibe dados,6h,10h,16h,Nao,"frontend,preview"
KAN-T10,[FRONT] PreviewNavigation,Setas de navegacao no preview,FLUXO_04,feature,3,3,KAN-T09,Navegacao funciona,3h,5h,8h,Nao,"frontend,ui"
KAN-T11,[FRONT] KanbanFilters,Filtros do board por score e fonte,FLUXO_04,feature,3,5,KAN-T01,Filtros funcionam corretamente,4h,6h,10h,Nao,"frontend,filters"
KAN-T12,[FRONT] ColumnSort,Ordenacao de cards na coluna,FLUXO_04,feature,3,3,KAN-T03,Ordenacao funciona,3h,5h,8h,Nao,"frontend,ui"
KAN-T13,[FRONT] CollapseColumn,Colapsar/expandir coluna,FLUXO_04,feature,3,2,KAN-T03,Coluna colapsa e expande,2h,3h,5h,Nao,"frontend,ui"
KAN-T14,[FRONT] RejectConfirmModal,Confirmacao de rejeicao com motivo,FLUXO_04,feature,3,3,,Modal funciona com validacao,3h,5h,8h,Nao,"frontend,modal"
KAN-T15,[FRONT] KanbanSearch,Busca de candidato no board,FLUXO_04,feature,3,3,KAN-T01,Busca filtra cards,3h,5h,8h,Nao,"frontend,search"
LOT-T01,[FRONT] Checkbox no CandidateCard,Checkbox para selecao multipla,FLUXO_05,feature,3,2,KAN-T04,Checkbox funciona,2h,3h,5h,Nao,"frontend,ui"
LOT-T02,[FRONT] SelectAll no StageHeader,Selecionar todos da coluna,FLUXO_05,feature,3,2,KAN-T03,Select all funciona,2h,3h,5h,Nao,"frontend,ui"
LOT-T03,[FRONT] BatchSelectionBar,Barra de acoes em lote,FLUXO_05,feature,3,5,,Barra aparece ao selecionar,4h,6h,10h,Nao,"frontend,ui"
LOT-T04,[FRONT] MoveStageModal,Modal para mover em lote,FLUXO_05,feature,3,5,LOT-T03,Modal funciona corretamente,4h,6h,10h,Nao,"frontend,modal"
LOT-T05,[BACK] API PUT bulk/stage,Mover candidatos em lote,FLUXO_05,feature,3,5,,Batch move funciona,4h,6h,10h,Nao,"backend,api,batch"
LOT-T06,[FRONT] BulkEmailModal,Modal para email em lote,FLUXO_05,feature,3,5,LOT-T03,Modal funciona corretamente,4h,6h,10h,Nao,"frontend,modal"
LOT-T07,[BACK] API POST bulk/email,Enviar email em lote,FLUXO_05,feature,3,5,,Batch email funciona,4h,6h,10h,Nao,"backend,api,batch"
LOT-T08,[FRONT] BulkScheduleModal,Modal para agendar em lote,FLUXO_05,feature,3,5,LOT-T03,Modal funciona corretamente,4h,6h,10h,Nao,"frontend,modal"
LOT-T09,[BACK] API POST bulk/schedule,Agendar em lote,FLUXO_05,feature,3,5,,Batch schedule funciona,4h,6h,10h,Nao,"backend,api,batch"
LOT-T10,[FRONT] BulkProgressDialog,Indicador de progresso,FLUXO_05,feature,3,3,LOT-T03,Progresso exibido,3h,5h,8h,Nao,"frontend,ui"
LOT-T11,[FRONT] BulkResultModal,Modal de resultado da operacao,FLUXO_05,feature,3,3,LOT-T03,Resultado exibido,3h,5h,8h,Nao,"frontend,modal"
COM-T01,[FRONT] UnifiedCommunicationModal,Modal unificado de comunicacao,FLUXO_06,feature,3,5,,Modal abre corretamente,4h,6h,10h,Nao,"frontend,modal"
COM-T02,[FRONT] ChannelTabs,Tabs Email/WhatsApp,FLUXO_06,feature,3,2,COM-T01,Tabs funcionam,2h,3h,5h,Nao,"frontend,ui"
COM-T03,[FRONT] JobTemplateSelector,Seletor de templates da vaga,FLUXO_06,feature,3,3,COM-T01,Templates listados,3h,5h,8h,Nao,"frontend,ui"
COM-T04,[BACK] API GET /templates,Listar templates disponiveis,FLUXO_06,feature,3,3,,Templates retornados,3h,5h,8h,Nao,"backend,api"
COM-T05,[FRONT] MessageEditor,Editor de mensagem,FLUXO_06,feature,3,5,COM-T01,Edicao funciona,4h,6h,10h,Nao,"frontend,editor"
COM-T06,[FRONT] VariableInserter,Inserir variaveis no texto,FLUXO_06,feature,3,3,COM-T05,Variaveis inseridas,3h,5h,8h,Nao,"frontend,ui"
COM-T07,[FRONT] MessagePreview,Preview da mensagem final,FLUXO_06,feature,3,3,COM-T05,Preview renderiza,3h,5h,8h,Nao,"frontend,preview"
COM-T08,[BACK] API POST /communications,Enviar comunicacao,FLUXO_06,feature,3,5,,Mensagem enviada,4h,6h,10h,Nao,"backend,api"
COM-T09,[BACK] Variable Substitution,Substituir variaveis no template,FLUXO_06,feature,3,3,COM-T08,Variaveis substituidas,3h,5h,8h,Nao,"backend,logic"
COM-T10,[INTEG] SendGrid Integration,Integracao para envio de email,FLUXO_06,feature,3,5,COM-T08,Email enviado via SendGrid,4h,6h,10h,Nao,"backend,integration"
COM-T11,[FRONT] WhatsAppRedirect,Redirect para wa.me,FLUXO_06,feature,4,2,,Redirect funciona,2h,3h,5h,Nao,"frontend,ui"
COM-T12,[FRONT] CommunicationHistory,Timeline de comunicacoes,FLUXO_06,feature,3,5,,Timeline renderiza,4h,6h,10h,Nao,"frontend,timeline"
COM-T13,[BACK] API GET /candidates/{id}/communications,Historico de comunicacoes,FLUXO_06,feature,3,3,,Historico retornado,3h,5h,8h,Nao,"backend,api"
COM-T14,[BACK] Tracking Pixel,Rastreamento de abertura de email,FLUXO_06,feature,4,3,COM-T10,Abertura rastreada,3h,5h,8h,Nao,"backend,tracking"
REL-T01,[FRONT] JobReportModal,Modal principal de relatorio,FLUXO_07,feature,4,5,,Modal abre corretamente,4h,6h,10h,Nao,"frontend,modal"
REL-T02,[FRONT] ConversionFunnel Chart,Grafico de funil de conversao,FLUXO_07,feature,4,5,REL-T01,Grafico renderiza,4h,6h,10h,Nao,"frontend,chart"
REL-T03,[BACK] API GET /jobs/{id}/report,Dados completos do relatorio,FLUXO_07,feature,4,5,,Metricas agregadas retornadas,4h,6h,10h,Nao,"backend,api"
REL-T04,[FRONT] TimeToHireChart,Grafico de tempo por etapa,FLUXO_07,feature,4,5,REL-T01,Grafico identifica gargalos,4h,6h,10h,Nao,"frontend,chart"
REL-T05,[FRONT] SourceAnalysis Chart,Grafico de distribuicao por fonte,FLUXO_07,feature,4,3,REL-T01,Grafico renderiza,3h,5h,8h,Nao,"frontend,chart"
REL-T06,[FRONT] NPSWidget,Widget de NPS dos candidatos,FLUXO_07,feature,4,3,REL-T01,NPS exibido,3h,5h,8h,Nao,"frontend,widget"
REL-T07,[FRONT] LIAInsightsPanel,Painel de insights da LIA,FLUXO_07,feature,4,5,REL-T01,Insights exibidos,4h,6h,10h,Sim,"frontend,ai"
REL-T08,[BACK] API GET /jobs/{id}/insights,Insights gerados pela LIA,FLUXO_07,feature,4,5,,Insights retornados,4h,6h,10h,Sim,"backend,api,ai"
REL-T09,[IA] Prompt Insights Generation,Template para gerar insights,FLUXO_07,feature,4,3,,Insights acionaveis,3h,5h,8h,Sim,"ai,prompt"
REL-T10,[BACK] Export PDF,Exportar relatorio em PDF,FLUXO_07,feature,4,5,,PDF gerado para download,4h,6h,10h,Nao,"backend,export"
REL-T11,[BACK] Export Excel,Exportar relatorio em Excel,FLUXO_07,feature,4,3,,Excel gerado para download,3h,5h,8h,Nao,"backend,export"
REL-T12,[FRONT] ExportMenu,Menu de opcoes de exportacao,FLUXO_07,feature,4,2,REL-T01,Menu funciona,2h,3h,5h,Nao,"frontend,ui"
TPL-T01,[FRONT] JobTemplatesPage,Pagina da biblioteca de templates,FLUXO_08,feature,4,5,,Pagina renderiza,4h,6h,10h,Nao,"frontend,page"
TPL-T02,[FRONT] TemplateGrid,Grid de cards de templates,FLUXO_08,feature,4,3,TPL-T01,Grid renderiza,3h,5h,8h,Nao,"frontend,grid"
TPL-T03,[FRONT] TemplateCard,Card individual de template,FLUXO_08,feature,4,3,TPL-T02,Card exibe dados,3h,5h,8h,Nao,"frontend,card"
TPL-T04,[BACK] API GET /job-templates,Listar templates,FLUXO_08,feature,4,3,,Templates listados,3h,5h,8h,Nao,"backend,api"
TPL-T05,[FRONT] CreateTemplateModal,Modal de criacao de template,FLUXO_08,feature,4,5,TPL-T01,Modal funciona,4h,6h,10h,Nao,"frontend,modal"
TPL-T06,[BACK] API POST /job-templates,Criar template,FLUXO_08,feature,4,3,,Template criado,3h,5h,8h,Nao,"backend,api"
TPL-T07,[FRONT] SaveAsTemplateModal,Modal salvar vaga como template,FLUXO_08,feature,4,5,,Modal funciona,4h,6h,10h,Nao,"frontend,modal"
TPL-T08,[BACK] API POST /jobs/{id}/save-as-template,Salvar vaga como template,FLUXO_08,feature,4,5,,Template criado da vaga,4h,6h,10h,Nao,"backend,api"
TPL-T09,[FRONT] UseTemplateModal,Modal usar template,FLUXO_08,feature,4,5,TPL-T01,Template aplicado ao wizard,4h,6h,10h,Nao,"frontend,modal"
TPL-T10,[FRONT] TemplatePreview,Preview do template,FLUXO_08,feature,4,3,TPL-T03,Preview exibe campos,3h,5h,8h,Nao,"frontend,preview"
TPL-T11,[BACK] API PUT /job-templates/{id},Editar template,FLUXO_08,feature,4,3,,Template atualizado,3h,5h,8h,Nao,"backend,api"
TPL-T12,[BACK] API DELETE /job-templates/{id},Excluir template,FLUXO_08,feature,4,2,,Template excluido,2h,3h,5h,Nao,"backend,api"
TPL-T13,[FRONT] TemplateSearch,Busca de templates,FLUXO_08,feature,4,2,TPL-T01,Busca funciona,2h,3h,5h,Nao,"frontend,search"
TPL-T14,[FRONT] CategoryFilter,Filtro por categoria,FLUXO_08,feature,4,2,TPL-T01,Filtro funciona,2h,3h,5h,Nao,"frontend,filter"
TPL-T15,[FRONT] FavoriteToggle,Toggle de favorito,FLUXO_08,feature,4,2,TPL-T03,Favorito salvo,2h,3h,5h,Nao,"frontend,ui"
