ID,Titulo,Descricao,Tipo,Tab,Sprint,Prioridade,Dependencias,Estimativa Ideal,Estimativa Realista,Estimativa Pessimista,DoD,Criterios de Aceitacao
BUS-010-FRONT,"[FRONT] Paginacao de Resultados","Navegacao entre paginas com items/page",feature,Busca,1,Alta,BUS-008-FRONT,2h,3h,5h,"Paginacao funciona","Mudar pagina atualiza tabela"
BUS-011-FRONT,"[FRONT] Selecao Multipla","Checkbox por linha com contador",feature,Busca,1,Alta,BUS-008-FRONT,2h,3h,5h,"Selecao funciona","Selecionar 5 exibe banner"
BUS-012-BACK,"[BACK] Endpoints Batch Actions","APIs para acoes em lote",feature,Busca,3,Media,,4h,6h,10h,"Endpoints batch funcionam","Adicionar 10 a lista funciona"
BUS-012-FRONT,"[FRONT] ContextualActionsBanner","Banner com acoes para selecionados",feature,Busca,3,Media,BUS-012-BACK,4h,6h,10h,"Banner com acoes","Acoes em lote funcionam"
BUS-013-FRONT,"[FRONT] CandidatePreview Panel","Painel lateral com preview redimensionavel",feature,Busca,2,Alta,,6h,10h,16h,"Preview abre e fecha","Clique abre preview"
BUS-014-FRONT,"[FRONT] CandidatePage Modal","Modal fullscreen com perfil completo",feature,Busca,3,Media,BUS-013-FRONT,8h,12h,20h,"Modal com tabs","Todos dados exibidos"
BUS-015-BACK,"[BACK] API Toggle Favorito","POST /api/v1/candidates/{id}/favorite",feature,Busca,1,Alta,,2h,3h,5h,"Toggle funciona","Favorito salvo"
BUS-015-FRONT,"[FRONT] Botao Favoritar","Estrela toggle com animacao",feature,Busca,1,Alta,BUS-015-BACK,2h,3h,5h,"Toggle animado","Clicar favorita"
BUS-016-BACK,"[BACK] API Adicionar a Lista","POST /api/v1/candidate-lists/{id}/candidates",feature,Busca,2,Alta,,2h,3h,5h,"API funciona","Candidato adicionado"
BUS-016-FRONT,"[FRONT] AddToListModal","Modal de selecao de lista",feature,Busca,2,Alta,BUS-016-BACK,4h,6h,10h,"Modal funciona","Selecionar e adicionar funciona"
BUS-017-BACK,"[BACK] API Vincular a Vaga","POST /api/v1/jobs/{id}/candidates",feature,Busca,2,Alta,,2h,3h,5h,"API funciona","Candidato vinculado"
BUS-017-FRONT,"[FRONT] AddToVacancyModal","Modal de selecao de vaga",feature,Busca,2,Alta,BUS-017-BACK,4h,6h,10h,"Modal funciona","Candidato aparece no Kanban"
BUS-018-FRONT,"[FRONT] Acao Enviar Email","Botao abre UnifiedCommunicationModal tipo email",feature,Busca,3,Media,,3h,5h,8h,"Modal abre","Email enviado"
BUS-019-FRONT,"[FRONT] Acao Enviar WhatsApp","Botao abre UnifiedCommunicationModal tipo whatsapp",feature,Busca,3,Media,,3h,5h,8h,"Modal abre","WhatsApp abre"
BUS-020-BACK,"[BACK] API Iniciar Triagem","POST /api/v1/screenings",feature,Busca,4,Media,,4h,6h,10h,"API funciona","Triagem iniciada"
BUS-020-FRONT,"[FRONT] WSITriagemInviteModal","Modal para iniciar triagem WSI",feature,Busca,4,Media,BUS-020-BACK,5h,8h,12h,"Modal funciona","Convite enviado"
BUS-021-BACK,"[BACK] API Parse CV","POST /api/v1/candidates/parse-cv com Claude",feature,Busca,3,Media,,6h,10h,16h,"CV parseado","Dados extraidos corretamente"
BUS-021-FRONT,"[FRONT] Dropzone Upload CV","Drag-drop para upload de CV",feature,Busca,3,Media,BUS-021-BACK,5h,8h,12h,"Upload funciona","PDF processado"
BUS-022-BACK,"[BACK] API Revelar Pearch","POST /api/v1/pearch/reveal/{id}",feature,Busca,4,Media,,4h,6h,10h,"Contatos revelados","Creditos debitados"
BUS-022-FRONT,"[FRONT] RevealCreditsModal","Modal de confirmacao de revelacao",feature,Busca,4,Media,BUS-022-BACK,3h,5h,8h,"Modal funciona","Contatos exibidos"
BUS-023-BACK,"[BACK] API Salvar Pearch","POST /api/v1/candidates/save-pearch",feature,Busca,4,Media,,3h,5h,8h,"Candidato salvo","Aparece em busca local"
BUS-023-FRONT,"[FRONT] Botao Salvar na Base","Botao para salvar candidato Pearch",feature,Busca,4,Media,BUS-023-BACK,2h,3h,5h,"Botao funciona","Candidato salvo"
BUS-024-FRONT,"[FRONT] Banner Expansao Global","Sugestao de expandir quando poucos resultados",feature,Busca,4,Media,,2h,3h,5h,"Banner aparece","Expansao funciona"
BUS-025-BACK,"[BACK] API Salvar Busca","POST /api/v1/saved-searches",feature,Busca,2,Media,,2h,3h,5h,"Busca salva","Aparece em Buscas Salvas"
BUS-025-FRONT,"[FRONT] Botao Salvar Busca","Botao com modal para nome",feature,Busca,2,Media,BUS-025-BACK,3h,5h,8h,"Modal funciona","Busca salva"
BUS-026-FRONT,"[FRONT] CandidateComparison Modal","Modal para comparar 2-4 candidatos",feature,Busca,5,Baixa,,6h,10h,16h,"Comparacao funciona","Diferencas destacadas"
BUS-027-FRONT,"[FRONT] Painel Insights LIA","Painel lateral com sugestoes",feature,Busca,5,Baixa,,4h,6h,10h,"Painel funciona","Insights relevantes"
FAV-001-BACK,"[BACK] API Listar Favoritos","GET /api/v1/candidates/favorites",feature,Favoritos,2,Alta,,2h,3h,5h,"API retorna favoritos","Todos listados"
FAV-001-FRONT,"[FRONT] FavoritesTab Component","Tab com lista de favoritos",feature,Favoritos,2,Alta,FAV-001-BACK,5h,8h,12h,"Tab funciona","Favoritos listados"
FAV-002-FRONT,"[FRONT] Filtros de Favoritos","Toggle Todos/Fixados/Com Estrela",feature,Favoritos,2,Media,FAV-001-FRONT,2h,3h,5h,"Filtros funcionam","Contadores corretos"
FAV-003-FRONT,"[FRONT] Busca em Favoritos","Input de busca por nome cargo",feature,Favoritos,2,Media,FAV-001-FRONT,2h,3h,5h,"Busca funciona","Buscar Python filtra"
FAV-004-BACK,"[BACK] API Fixar Candidato","PUT /api/v1/candidates/{id}/favorite is_pinned",feature,Favoritos,2,Alta,,2h,3h,5h,"API funciona","Status salvo"
FAV-004-FRONT,"[FRONT] Botao Fixar Pin","Toggle de pin com ordenacao",feature,Favoritos,2,Alta,FAV-004-BACK,2h,3h,5h,"Toggle funciona","Fixados no topo"
FAV-005-BACK,"[BACK] API Nota Favorito","PUT /api/v1/candidates/{id}/favorite note",feature,Favoritos,2,Media,,2h,3h,5h,"API funciona","Nota salva"
FAV-005-FRONT,"[FRONT] Popover Adicionar Nota","Popover com textarea para nota",feature,Favoritos,2,Media,FAV-005-BACK,3h,5h,8h,"Popover funciona","Nota salva ao fechar"
FAV-006-FRONT,"[FRONT] Edicao de Nota","Popover pre-preenchido editavel",feature,Favoritos,2,Media,FAV-005-FRONT,2h,3h,5h,"Edicao funciona","Nota atualizada"
FAV-007-FRONT,"[FRONT] Remover Favorito","Toggle estrela com undo",feature,Favoritos,2,Alta,FAV-001-FRONT,2h,3h,5h,"Toggle funciona","Undo restaura"
FAV-008-FRONT,"[FRONT] Ordenacao Favoritos","Dropdown ordenar por score nome data",feature,Favoritos,2,Media,FAV-001-FRONT,2h,3h,5h,"Ordenacao funciona","Fixados permanecem no topo"
FAV-009-FRONT,"[FRONT] Preview em Favoritos","Clique abre CandidatePreview",feature,Favoritos,2,Alta,BUS-013-FRONT,2h,3h,5h,"Preview abre","Navegacao funciona"
FAV-010-FRONT,"[FRONT] Analise LIA Favorito","Botao abre painel de analise",feature,Favoritos,3,Media,,4h,6h,10h,"Painel funciona","Score e Big Five exibidos"
LIS-001-BACK,"[BACK] API Listar Listas","GET /api/v1/candidate-lists",feature,Listas,2,Alta,,2h,3h,5h,"API retorna listas","Todas listadas"
LIS-001-FRONT,"[FRONT] ListsTab Component","Tab com grid de listas",feature,Listas,2,Alta,LIS-001-BACK,5h,8h,12h,"Tab funciona","Listas exibidas"
LIS-002-BACK,"[BACK] API Criar Lista","POST /api/v1/candidate-lists",feature,Listas,2,Alta,,3h,5h,8h,"API funciona","Lista criada"
LIS-002-FRONT,"[FRONT] Modal Criar Lista","Modal com form nome cor descricao",feature,Listas,2,Alta,LIS-002-BACK,4h,6h,10h,"Modal funciona","Lista criada"
LIS-003-BACK,"[BACK] API Editar Lista","PUT /api/v1/candidate-lists/{id}",feature,Listas,2,Media,,2h,3h,5h,"API funciona","Lista atualizada"
LIS-003-FRONT,"[FRONT] Modal Editar Lista","Modal pre-preenchido",feature,Listas,2,Media,LIS-003-BACK,2h,3h,5h,"Modal funciona","Edicao salva"
LIS-004-BACK,"[BACK] API Excluir Lista","DELETE /api/v1/candidate-lists/{id}",feature,Listas,2,Media,,2h,3h,5h,"API funciona","Lista excluida"
LIS-004-FRONT,"[FRONT] Dialog Excluir Lista","AlertDialog de confirmacao",feature,Listas,2,Media,LIS-004-BACK,2h,3h,5h,"Confirmacao exibida","Lista excluida"
LIS-005-FRONT,"[FRONT] Busca de Listas","Input para buscar por nome",feature,Listas,2,Media,LIS-001-FRONT,2h,3h,5h,"Busca funciona","Lista encontrada"
LIS-006-BACK,"[BACK] API Detalhe Lista","GET /api/v1/candidate-lists/{id}",feature,Listas,2,Alta,,2h,3h,5h,"API retorna candidatos","Lista com candidatos"
LIS-006-FRONT,"[FRONT] View Detalhe Lista","Pagina com candidatos da lista",feature,Listas,2,Alta,LIS-006-BACK,5h,8h,12h,"View funciona","Candidatos exibidos"
LIS-007-BACK,"[BACK] API Adicionar a Lista","POST /api/v1/candidate-lists/{id}/candidates",feature,Listas,2,Alta,,2h,3h,5h,"API funciona","Candidato adicionado"
LIS-007-FRONT,"[FRONT] AddToListModal Complete","Modal com busca e criacao inline",feature,Listas,2,Alta,LIS-007-BACK,4h,6h,10h,"Modal funciona","Adicao funciona"
LIS-008-BACK,"[BACK] API Remover da Lista","DELETE /api/v1/candidate-lists/{id}/candidates/{cid}",feature,Listas,2,Media,,2h,3h,5h,"API funciona","Candidato removido"
LIS-008-FRONT,"[FRONT] Botao Remover da Lista","Botao com undo",feature,Listas,2,Media,LIS-008-BACK,2h,3h,5h,"Remocao funciona","Undo restaura"
LIS-009-BACK,"[BACK] API Vincular Lista a Vagas","POST /api/v1/jobs/{id}/candidates/batch",feature,Listas,3,Media,,3h,5h,8h,"API funciona","Candidatos vinculados"
LIS-009-FRONT,"[FRONT] AddListToVacanciesModal","Modal multi-select de vagas",feature,Listas,3,Media,LIS-009-BACK,4h,6h,10h,"Modal funciona","Lista vinculada"
LIS-010-BACK,"[BACK] API Exportar Lista","GET /api/v1/candidate-lists/{id}/export",feature,Listas,4,Baixa,,4h,6h,10h,"API gera arquivo","CSV e Excel funcionam"
LIS-010-FRONT,"[FRONT] Modal Exportar Lista","Modal com opcoes de formato",feature,Listas,4,Baixa,LIS-010-BACK,3h,5h,8h,"Modal funciona","Download funciona"
HIS-001-FRONT,"[FRONT] HistoryTab Component","Tab com historico agrupado por data",feature,Historico,2,Alta,,5h,8h,12h,"Tab funciona","Historico exibido"
HIS-002-FRONT,"[FRONT] Re-executar Busca","Botao play redireciona para busca",feature,Historico,2,Alta,HIS-001-FRONT,3h,5h,8h,"Botao funciona","Busca re-executada"
HIS-003-FRONT,"[FRONT] Salvar como Favorita","Botao abre modal de salvar",feature,Historico,2,Media,HIS-001-FRONT,3h,5h,8h,"Modal funciona","Busca salva"
HIS-004-FRONT,"[FRONT] Excluir Item Historico","Botao trash com undo",feature,Historico,2,Media,HIS-001-FRONT,2h,3h,5h,"Exclusao funciona","Undo restaura"
HIS-005-FRONT,"[FRONT] Limpar Todo Historico","Botao com confirmacao",feature,Historico,2,Baixa,HIS-001-FRONT,2h,3h,5h,"Limpeza funciona","Confirmacao exibida"
HIS-006-FRONT,"[FRONT] Expandir Detalhes","Accordion com entidades e filtros",feature,Historico,2,Baixa,HIS-001-FRONT,2h,3h,5h,"Expand funciona","Detalhes exibidos"
SAV-001-BACK,"[BACK] API Listar Buscas Salvas","GET /api/v1/saved-searches",feature,Buscas Salvas,2,Alta,,2h,3h,5h,"API retorna buscas","Todas listadas"
SAV-001-FRONT,"[FRONT] SavedSearchesTab Component","Tab com grid de buscas salvas",feature,Buscas Salvas,2,Alta,SAV-001-BACK,5h,8h,12h,"Tab funciona","Buscas exibidas"
SAV-002-BACK,"[BACK] API Criar Busca Salva","POST /api/v1/saved-searches",feature,Buscas Salvas,2,Alta,,2h,3h,5h,"API funciona","Busca salva"
SAV-002-FRONT,"[FRONT] Modal Salvar Busca","Modal com form nome descricao",feature,Buscas Salvas,2,Alta,SAV-002-BACK,3h,5h,8h,"Modal funciona","Busca salva"
SAV-003-BACK,"[BACK] API Editar Busca Salva","PUT /api/v1/saved-searches/{id}",feature,Buscas Salvas,2,Media,,2h,3h,5h,"API funciona","Busca atualizada"
SAV-003-FRONT,"[FRONT] Modal Editar Busca","Modal pre-preenchido",feature,Buscas Salvas,2,Media,SAV-003-BACK,2h,3h,5h,"Modal funciona","Edicao salva"
SAV-004-BACK,"[BACK] API Excluir Busca Salva","DELETE /api/v1/saved-searches/{id}",feature,Buscas Salvas,2,Media,,2h,3h,5h,"API funciona","Busca excluida"
SAV-004-FRONT,"[FRONT] Botao Excluir Busca","Botao com undo",feature,Buscas Salvas,2,Media,SAV-004-BACK,2h,3h,5h,"Exclusao funciona","Undo restaura"
SAV-005-FRONT,"[FRONT] Executar Busca Salva","Botao play redireciona",feature,Buscas Salvas,2,Alta,SAV-001-FRONT,3h,5h,8h,"Execucao funciona","Parametros aplicados"
SAV-006-BACK,"[BACK] API Favoritar Busca","PUT /api/v1/saved-searches/{id} isFavorite",feature,Buscas Salvas,2,Media,,2h,3h,5h,"API funciona","Status salvo"
SAV-006-FRONT,"[FRONT] Toggle Favoritar Busca","Estrela toggle com ordenacao",feature,Buscas Salvas,2,Media,SAV-006-BACK,2h,3h,5h,"Toggle funciona","Favoritas no topo"
SAV-007-FRONT,"[FRONT] Estatisticas de Uso","Display de contador e media",feature,Buscas Salvas,3,Baixa,SAV-001-FRONT,2h,3h,5h,"Stats exibidas","Contador visivel"
SAV-008-FRONT,"[FRONT] Ordenacao Buscas","Dropdown ordenar por nome data frequencia",feature,Buscas Salvas,2,Baixa,SAV-001-FRONT,2h,3h,5h,"Ordenacao funciona","Favoritas no topo"
DADOS-001,"[DADOS] Modelo candidates","Tabela principal de candidatos com indices",tech debt,,1,Alta,,2h,3h,5h,"Modelo criado","Migrado para producao"
DADOS-002,"[DADOS] Modelo candidate_lists","Tabelas candidate_lists e candidate_list_items",tech debt,,2,Alta,,2h,3h,5h,"Modelo criado","Migrado para producao"
DADOS-003,"[DADOS] Modelo candidate_favorites","Tabela de favoritos com nota e pin",tech debt,,2,Alta,,2h,3h,5h,"Modelo criado","Migrado para producao"
DADOS-004,"[DADOS] Modelo search_history","Tabela de historico de buscas",tech debt,,2,Media,,2h,3h,5h,"Modelo criado","Migrado para producao"
DADOS-005,"[DADOS] Modelo saved_searches","Tabela de buscas salvas com stats",tech debt,,2,Media,,2h,3h,5h,"Modelo criado","Migrado para producao"
TEST-001,"[TEST] Testes Unitarios Busca","Cobertura >80% componentes busca",tech debt,,3,Media,"BUS-*",4h,6h,10h,"Cobertura >80%","Testes passando"
TEST-002,"[TEST] Testes Unitarios Listas","Cobertura >80% componentes listas",tech debt,,3,Media,"LIS-*",3h,5h,8h,"Cobertura >80%","Testes passando"
TEST-003,"[TEST] Testes E2E Fluxo Busca","Teste fluxo buscar e salvar",tech debt,,4,Media,"BUS-*",4h,6h,10h,"Fluxo passa","Sem erros"
TEST-004,"[TEST] Testes E2E Fluxo Listas","Teste fluxo criar e adicionar",tech debt,,4,Media,"LIS-*",4h,6h,10h,"Fluxo passa","Sem erros"
DOCS-001,"[DOCS] Swagger API Candidatos","Documentacao OpenAPI endpoints",tech debt,,4,Baixa,"BACK-*",3h,4h,6h,"Swagger gerado","Endpoints documentados"
DOCS-002,"[DOCS] Guia de Usuario","Documentacao para usuarios finais",tech debt,,5,Baixa,,4h,6h,10h,"Guia criado","Screenshots incluidos"
