Summary,Issue Type,Priority,Labels,Description
"[VAG-040] Tab Visao Geral - Responsaveis",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-040. Story Points: 3. Prioridade: Medium"
"[VAG-041] Tab Visao Geral - Datas Criticas",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-041. Story Points: 3. Prioridade: Medium"
"[VAG-042] Tab Roteiro de Triagem - WSI Blocks",Task,Highest,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-042. Story Points: 13. Prioridade: Highest"
"[VAG-043] WSI Blocks - Accordion Expansivel",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-043. Story Points: 5. Prioridade: High"
"[VAG-044] WSI Blocks - Editor de Perguntas",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-044. Story Points: 8. Prioridade: High"
"[VAG-045] Configuracao de Canais de Triagem",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-045. Story Points: 5. Prioridade: High"
"[VAG-046] Processo Seletivo Inline Breadcrumb",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-046. Story Points: 3. Prioridade: Medium"
"[VAG-047] Resize do Painel de Preview",Task,Low,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-047. Story Points: 3. Prioridade: Low"
"[VAG-048] JobActionsBar - Barra de Acoes",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-048. Story Points: 5. Prioridade: High"
"[VAG-049] JobPublishModal - Publicar em Canais",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-049. Story Points: 8. Prioridade: High"
"[VAG-050] JobInsightsModal - Metricas Expandidas",Task,Highest,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-050. Story Points: 13. Prioridade: Highest"
"[VAG-051] JobDuplicateModal - Duplicar Vaga",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-051. Story Points: 5. Prioridade: Medium"
"[VAG-052] JobStatusModal - Pausar/Ativar Vaga",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-052. Story Points: 5. Prioridade: High"
"[VAG-053] JobAssignRecruiterModal - Atribuir Recrutador",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-053. Story Points: 5. Prioridade: Medium"
"[VAG-054] JobUnpublishModal - Despublicar Vaga",Task,Low,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-054. Story Points: 5. Prioridade: Low"
"[VAG-055] JobCompareModal - Comparar Vagas",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-055. Story Points: 8. Prioridade: Medium"
"[VAG-056] EditJobModal - Edicao Completa",Task,Highest,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-056. Story Points: 13. Prioridade: Highest"
"[VAG-057] JobFiltersPanel - Painel Lateral",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-057. Story Points: 8. Prioridade: High"
"[VAG-058] Filtros Rapidos Ativas/Urgentes/Remotas",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-058. Story Points: 3. Prioridade: High"
"[VAG-059] Filtro por Status da Vaga",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-059. Story Points: 3. Prioridade: High"
"[VAG-060] Filtro por Etapa do Processo",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-060. Story Points: 3. Prioridade: Medium"
"[VAG-061] Filtro por Modelo de Trabalho",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-061. Story Points: 3. Prioridade: Medium"
"[VAG-062] Filtro por Recrutador/Gestor",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-062. Story Points: 3. Prioridade: Medium"
"[VAG-063] Busca Booleana AND/OR/NOT",Task,Low,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-063. Story Points: 5. Prioridade: Low"
"[VAG-064] Pesquisas Salvas Templates",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-064. Story Points: 5. Prioridade: Medium"
"[VAG-065] Persistencia de Filtros Hook",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-065. Story Points: 3. Prioridade: High"
"[VAG-066] Nivel 1 Mini Prompt Inline",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-066. Story Points: 5. Prioridade: High"
"[VAG-067] Nivel 2 Chat Expandido Lateral",Task,Highest,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-067. Story Points: 8. Prioridade: Highest"
"[VAG-068] Nivel 3 Super Chat Criacao de Vaga",Task,Highest,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-068. Story Points: 13. Prioridade: Highest"
"[VAG-069] Deteccao de Intent de Criacao",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-069. Story Points: 5. Prioridade: High"
"[VAG-070] Auto-Expand LIA ao Selecionar Vagas",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-070. Story Points: 3. Prioridade: Medium"
"[VAG-071] Historico de Mensagens Inline",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-071. Story Points: 3. Prioridade: Medium"
"[VAG-072] AudioRecordButton Gravacao de Voz",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-072. Story Points: 5. Prioridade: Medium"
"[VAG-073] LiaVacancyQueriesGuide Popover",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-073. Story Points: 5. Prioridade: High"
"[VAG-074] ExpandedChatModal Modal Full",Task,Highest,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-074. Story Points: 8. Prioridade: Highest"
"[VAG-075] Botao Nova Vaga Header",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-075. Story Points: 3. Prioridade: High"
"[VAG-076] Super Chat Modal Container",Task,Highest,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-076. Story Points: 8. Prioridade: Highest"
"[VAG-077] Wizard Step 1 Descricao Inicial",Task,Highest,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-077. Story Points: 8. Prioridade: Highest"
"[VAG-078] Wizard Step 2 Informacoes Basicas",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-078. Story Points: 5. Prioridade: High"
"[VAG-079] Wizard Step 3 Remuneracao e Beneficios",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-079. Story Points: 5. Prioridade: High"
"[VAG-080] Wizard Step 4 Competencias Tecnicas",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-080. Story Points: 8. Prioridade: High"
"[VAG-081] Wizard Step 5 Competencias WSI",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-081. Story Points: 8. Prioridade: High"
"[VAG-082] Wizard Step 6 Requisitos Idiomas",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-082. Story Points: 5. Prioridade: Medium"
"[VAG-083] Wizard Step 7 Scorecard Avaliacao",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-083. Story Points: 5. Prioridade: Medium"
"[VAG-084] Wizard Step 8 Prazos e Cronograma",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-084. Story Points: 5. Prioridade: High"
"[VAG-085] Wizard Step 9 Pipeline do Processo",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-085. Story Points: 8. Prioridade: High"
"[VAG-086] Wizard Step 10 Solicitacao de Dados",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-086. Story Points: 5. Prioridade: Medium"
"[VAG-087] Wizard Step 11 Revisao Final",Task,Highest,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-087. Story Points: 8. Prioridade: Highest"
"[VAG-088] [BACK] Endpoint /lia/job-wizard/step",Task,Highest,"VAGAS,Backend","Card da documentacao de Gestao de Vagas. ID: VAG-088. Story Points: 13. Prioridade: Highest"
"[VAG-089] Navegacao entre Etapas Stepper",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-089. Story Points: 5. Prioridade: High"
"[VAG-090] Calibracao de Candidatos Sourcing",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-090. Story Points: 8. Prioridade: High"
"[VAG-091] ScreeningQuestionsPanel Perguntas",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-091. Story Points: 8. Prioridade: High"
"[VAG-092] Integracao com Busca Global Pearch",Task,High,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-092. Story Points: 8. Prioridade: High"
"[VAG-093] Validacao de Dados Zod Schema",Task,Medium,"VAGAS,Frontend","Card da documentacao de Gestao de Vagas. ID: VAG-093. Story Points: 3. Prioridade: Medium"
"[VAG-094] [BACK-RAILS] API CRUD Vagas",Task,Highest,"VAGAS,Backend","Card da documentacao de Gestao de Vagas. ID: VAG-094. Story Points: 8. Prioridade: Highest"
"[VAG-095] [BACK-RAILS] API Filtros Avancados",Task,High,"VAGAS,Backend","Card da documentacao de Gestao de Vagas. ID: VAG-095. Story Points: 5. Prioridade: High"
"[VAG-096] [BACK-RAILS] API Publicacao Multi-Canal",Task,High,"VAGAS,Backend","Card da documentacao de Gestao de Vagas. ID: VAG-096. Story Points: 8. Prioridade: High"
"[VAG-097] [BACK-RAILS] API Metricas Vaga",Task,High,"VAGAS,Backend","Card da documentacao de Gestao de Vagas. ID: VAG-097. Story Points: 5. Prioridade: High"
"[VAG-098] [BACK-RAILS] API Duplicacao Vaga",Task,Medium,"VAGAS,Backend","Card da documentacao de Gestao de Vagas. ID: VAG-098. Story Points: 3. Prioridade: Medium"
"[VAG-099] [BACK-RAILS] API Status Vaga",Task,High,"VAGAS,Backend","Card da documentacao de Gestao de Vagas. ID: VAG-099. Story Points: 3. Prioridade: High"
"[VAG-100] [BACK-RAILS] API Atribuicao Recrutador",Task,Medium,"VAGAS,Backend","Card da documentacao de Gestao de Vagas. ID: VAG-100. Story Points: 3. Prioridade: Medium"
"[VAG-101] [BACK-RAILS] API Comparacao Vagas",Task,Medium,"VAGAS,Backend","Card da documentacao de Gestao de Vagas. ID: VAG-101. Story Points: 5. Prioridade: Medium"
"[VAG-102] [BACK-RAILS] Webhooks Mudanca Status",Task,High,"VAGAS,Backend","Card da documentacao de Gestao de Vagas. ID: VAG-102. Story Points: 5. Prioridade: High"
"[VAG-103] [BACK-RAILS] API Pesquisas Salvas",Task,Medium,"VAGAS,Backend","Card da documentacao de Gestao de Vagas. ID: VAG-103. Story Points: 3. Prioridade: Medium"
"[VAG-104] [BACK-RAILS] API Usuarios Recrutadores",Task,High,"VAGAS,Backend","Card da documentacao de Gestao de Vagas. ID: VAG-104. Story Points: 5. Prioridade: High"
"[VAG-105] [BACK-RAILS] API Pipeline Stages",Task,High,"VAGAS,Backend","Card da documentacao de Gestao de Vagas. ID: VAG-105. Story Points: 5. Prioridade: High"
"[VAG-106] [BACK-RAILS] API Integracao WorkOS",Task,High,"VAGAS,Backend","Card da documentacao de Gestao de Vagas. ID: VAG-106. Story Points: 8. Prioridade: High"
"[VAG-107] [BACK-RAILS] API Logs Auditoria",Task,Medium,"VAGAS,Backend","Card da documentacao de Gestao de Vagas. ID: VAG-107. Story Points: 5. Prioridade: Medium"
"[VAG-108] [BACK-RAILS] API Export PDF/CSV",Task,Medium,"VAGAS,Backend","Card da documentacao de Gestao de Vagas. ID: VAG-108. Story Points: 5. Prioridade: Medium"
"[VAG-109] [BACK-IA] Comparacao de Candidatos por Cenario",Task,Highest,"VAGAS,Backend-IA","Card da documentacao de Gestao de Vagas. ID: VAG-109. Story Points: 13. Prioridade: Highest"
"[VAG-110] [BACK-IA] Score LIA Unificado",Task,Highest,"VAGAS,Backend-IA","Card da documentacao de Gestao de Vagas. ID: VAG-110. Story Points: 8. Prioridade: Highest"
"[VAG-111] [BACK-IA] Parecer Automatico de Candidato",Task,High,"VAGAS,Backend-IA","Card da documentacao de Gestao de Vagas. ID: VAG-111. Story Points: 8. Prioridade: High"
"[VAG-112] [BACK-IA] Metodologia LIA Unificada",Task,High,"VAGAS,Backend-IA","Card da documentacao de Gestao de Vagas. ID: VAG-112. Story Points: 5. Prioridade: High"
"[VAG-113] [BACK-IA] WSI Scoped por VacancyCandidate",Task,High,"VAGAS,Backend-IA","Card da documentacao de Gestao de Vagas. ID: VAG-113. Story Points: 5. Prioridade: High"
"[VAG-114] [BACK-IA] Testes de Validacao Cenarios",Task,High,"VAGAS,Backend-IA","Card da documentacao de Gestao de Vagas. ID: VAG-114. Story Points: 5. Prioridade: High"
"[VAG-115] [BACK-IA] WSI Service - Metodologia Cientifica",Task,Highest,"VAGAS,Backend-IA","Card da documentacao de Gestao de Vagas. ID: VAG-115. Story Points: 13. Prioridade: Highest"
"[VAG-116] [BACK-IA] CV Parser - Extracao Inteligente",Task,High,"VAGAS,Backend-IA","Card da documentacao de Gestao de Vagas. ID: VAG-116. Story Points: 8. Prioridade: High"
"[VAG-117] [BACK-IA] WSI Question Generator",Task,High,"VAGAS,Backend-IA","Card da documentacao de Gestao de Vagas. ID: VAG-117. Story Points: 8. Prioridade: High"
"[VAG-118] [BACK-IA] Personalized Feedback Service",Task,Medium,"VAGAS,Backend-IA","Card da documentacao de Gestao de Vagas. ID: VAG-118. Story Points: 8. Prioridade: Medium"
"[VAG-119] [BACK-IA] Culture Analyzer Service",Task,Medium,"VAGAS,Backend-IA","Card da documentacao de Gestao de Vagas. ID: VAG-119. Story Points: 8. Prioridade: Medium"
"[VAG-120] [BACK-IA] Interview Transcript Analysis",Task,High,"VAGAS,Backend-IA","Card da documentacao de Gestao de Vagas. ID: VAG-120. Story Points: 13. Prioridade: High"
"[VAG-121] [BACK-IA] Semantic Search Service",Task,High,"VAGAS,Backend-IA","Card da documentacao de Gestao de Vagas. ID: VAG-121. Story Points: 8. Prioridade: High"
"[VAG-122] [BACK-IA] Candidate Enrichment Service",Task,Medium,"VAGAS,Backend-IA","Card da documentacao de Gestao de Vagas. ID: VAG-122. Story Points: 8. Prioridade: Medium"
